counterparty;country;industry;exposure;pd_th
1;20043;20077;194.529642936673;-3.39240481042436
2;20022;20075;769.176416057062;-3.17900331703147
3;20011;20072;1170.06364553691;-3.03884551754563
4;20004;20079;573.225017171353;-2.14095156714714
5;20032;20065;643.24037078768;-3.23888011835298
6;20014;20069;957.374589475703;-2.46338973862845
7;20024;20073;1119.06218617679;-3.23888011835298
8;20034;20064;623.433855827898;-2.92550142591559
9;20017;20079;596.770824864507;-3.23888011835298
10;20023;20067;1012.90116792381;-3.03884551754563
11;20003;20055;440.539170522243;-3.54008379920615
12;20014;20068;531.911892816424;-2.27543246002579
13;20006;20072;604.93333498016;-3.23888011835298
14;20020;20059;136.811396572739;-3.14869725402409
15;20050;20066;3060.79984866899;-3.20906237282333
16;20028;20062;52.1565796748745;-3.14869725402409
17;20048;20068;152.700122417912;-2.46338973862845
18;20035;20062;139.007577672601;-2.92550142591559
19;20027;20073;335.560248863276;-2.64047950450334
20;20020;20061;2269.7533572695;-2.27543246002579
21;20008;20070;2399.34649492118;-2.92550142591559
22;20031;20069;672.831318341196;-3.17900331703147
23;20025;20071;1399.57869302603;-2.80832461598966
24;20018;20052;260.514895897359;-3.23888011835298
25;20048;20055;1140.22326685347;-3.03884551754563
26;20014;20051;1.01557653397322;-2.92550142591559
27;20001;20079;401.723422110081;-2.46338973862845
28;20029;20065;1137.93870895625;-3.20906237282333
29;20047;20066;6.34654054485109;-2.80832461598966
30;20028;20073;630.866928491741;-3.14869725402409
31;20028;20061;1000.0319936824;-2.64047950450334
32;20005;20072;831.793616385262;-3.03884551754563
33;20047;20072;80.2805335260928;-2.64047950450334
34;20024;20074;493.44720505178;-2.46338973862845
35;20018;20066;930.507950442743;-3.23888011835298
36;20009;20076;3067.118845712;-3.20906237282333
37;20014;20064;816.089358523828;-2.80832461598966
38;20031;20079;1089.06467720391;-3.03884551754563
39;20029;20070;1601.13652666992;-2.80832461598966
40;20013;20056;2105.09783575747;-3.20906237282333
41;20047;20058;181.100053247064;-2.92550142591559
42;20043;20063;1241.44742414552;-2.92550142591559
43;20034;20061;1696.61631426754;-2.27543246002579
44;20029;20064;186.103327665478;-3.03884551754563
45;20039;20069;2910.58029217606;-2.14095156714714
46;20038;20055;1097.10364691438;-3.03884551754563
47;20047;20062;30.7641299441457;-2.14095156714714
48;20034;20065;415.206189089337;-3.03884551754563
49;20042;20051;290.66274408251;-2.92550142591559
50;20032;20059;2933.46192670946;-2.64047950450334
51;20018;20067;783.630874661709;-2.46338973862845
52;20011;20054;149.198324912284;-2.64047950450334
53;20018;20075;2120.1131249449;-3.17900331703147
54;20010;20080;1199.66993942381;-2.27543246002579
